Failure Name,Station Name,Stage,Debug Snapshot,Group Name,Failure_Id,SightingId,AxonSV Record Viewer,Signatures
78bbabb2,jf04wvaw5022,PreBoot,,,78bbabb2-5d19-4e35-9a3c-0999e7244915,NA,,[]
dc59708b,jf04wvaw5119,Test,,,dc59708b-56d7-4f67-9a81-485da41e06d9,NA,,[]
9adfa8c2,jf04wvaw5018,Test,,,9adfa8c2-43fa-49f4-8df3-c6635911e0e7,NA,,[]
9f3e25c3,jf04wvaw5284,Test,,,9f3e25c3-8d68-4fe1-ad63-2bb2a0427605,NA,,[]
ca113bfc,ba05wvaw0148,PreBoot,,,ca113bfc-e934-4523-8670-a2499d345b37,NA,,[]
7896fcfd,ba05wvaw0113,PreBoot,,,7896fcfd-51ac-4e4f-8346-613554dfacc0,NA,,[]
b450ed0a,jf04wvaw5179,PreTest,,,b450ed0a-dff7-4863-8a6b-3178ee1ff297,NA,,[]
4e755450,ba05wvaw0148,PreBoot,,,4e755450-41a4-4be6-b40e-5cec4351daf4,NA,,[]
662f1f3d,jf04wvaw5088,Test,,,662f1f3d-6c9a-47ca-8ff7-32cbb8f88051,NA,,[]
4f1bc97b,jf04wvaw5022,Test,,Concurrency,4f1bc97b-8246-4570-877a-9cd4cf66b632,NA,,[]
d2a59d96,jf04wvaw5018,Test,,,d2a59d96-2e14-495f-83d4-96584ebebaeb,NA,,[]
8ad56b66,ba05wvaw0148,PreBoot,,,8ad56b66-e079-403f-9359-be820c64a774,NA,,[]
a9189bcc,ba05wvaw0113,PreBoot,,,a9189bcc-53d7-4943-9cda-0f6481fdcb27,NA,,[]
048a1069,ba05wvaw0148,PreBoot,,,048a1069-4672-4f49-bfe8-aac1f8dc3149,NA,,[]
154fc4b4,jf04wvaw5337,Test,,,154fc4b4-b380-470a-a0e2-136f4ec9e3d1,NA,,[]
985fb1a1,jf04wvaw5088,Test,,,985fb1a1-613b-4539-837c-8748105319d0,NA,,[]
716a79d0,ba05wvaw0148,PreBoot,,,716a79d0-fa66-4e0b-bccd-ce1e151ecd88,NA,,[]
f61ca74e,jf04wvaw5139,Test,,,f61ca74e-8c11-41f5-9818-68bded74bf7e,NA,,[]
948b3f6b,ba05wvaw0004,PreBoot,,,948b3f6b-2ea5-4ccf-b344-639b0ff073da,NA,,[]
ea6c1e39,ba05wvaw0148,PreBoot,,,ea6c1e39-1d95-4675-b6a8-93ce530ae39f,NA,,[]
fbbe0d1f,jf04wvaw5022,Test,,,fbbe0d1f-7ab4-43e9-8f86-cfee79e20959,NA,,[]
8c3b91bb,jf04wvaw5119,Test,,,8c3b91bb-ecc8-4ba1-aea3-5c0dde6c0b46,NA,,[]
cef905a7,jf04wvaw5179,Test,,,cef905a7-2a2f-47ec-909e-a622223e180e,NA,,[]
666ff911,jf04wvaw5088,Test,,,666ff911-2904-48e5-b4d4-35a877db6911,NA,,[]
9f3572ec,ba05wvaw0004,PreBoot,,,9f3572ec-d00a-4ca8-97d8-42a434939e60,NA,,[]
3da3de3d,jf04wvaw5143,Test,,,3da3de3d-6f88-46de-b891-132d3ab93b96,NA,,[]
35cb7b01,jf04wvaw5077,Test,,,35cb7b01-8083-4034-91f7-e510fe9bf993,NA,,[]
4d0626f4,ba05wvaw0148,PreTest,,,4d0626f4-035a-44c1-b1b9-a5e0bf6ce3aa,NA,,[]
6e2ae9ae,jf04wvaw5077,Test,,,6e2ae9ae-7f18-4685-b97d-dccea933e02e,NA,,[]
0d697ffc,jf04wvaw5307,PreBoot,,,0d697ffc-c616-4644-a237-bc35f2237b8a,NA,,[]
5824d2fd,jf04wvaw5139,Test,,,5824d2fd-4fa9-48eb-8106-c531a56a9e45,NA,,[]
01dc837a,jf04wvaw5337,Test,,,01dc837a-eff6-4675-a4b4-21ff85e8d6ba,NA,,[]
535d20ed,ba05wvaw0148,PreTest,,UPI,535d20ed-0ff3-4187-94ce-f1c644425f22,NA,,[]
4ede441d,jf04wvaw5088,Test,,,4ede441d-d22f-4752-a4cd-4af7de4e2c12,NA,,[]
b5ab9cd8,ba05wvaw0113,PreBoot,,,b5ab9cd8-2735-423a-b18a-b2be9213c9f7,NA,,[]
29a94fe4,ba05wvaw0113,Test,,Reset,29a94fe4-a8bc-41c3-8aa0-4477a3de14db,NA,,[]
537c7a1a,ba05wvaw0148,Cleanup,,Concurrency,537c7a1a-8f8d-4aa6-be4d-f844f9412ad2,NA,,[]
5a727477,ba05wvaw0113,PreBoot,,Reset,5a727477-0455-4890-9e83-a5452a1d14a9,NA,,[]
1eb475d5,ba05wvaw0004,PreTest,,Concurrency,1eb475d5-2dfd-4e4e-b173-4d458dd5a9e0,NA,,[]
09b59982,jf04wvaw5179,Test,,Concurrency,09b59982-f9f8-4383-a5bd-ee283be6772c,NA,,[]
3e968d7e,jf04wvaw5143,Test,,,3e968d7e-c77c-4980-9d42-7091bb638794,NA,,[]
d9e730b7,jf04wvaw5139,Test,,,d9e730b7-e87c-4891-8221-8c33de7aae48,NA,,[]
ce4e415a,ba05wvaw0004,PreTest,,,ce4e415a-5f23-44b8-9ae8-725cb394126e,NA,,[]
bc3da960,jf04wvaw5179,Test,,,bc3da960-d43b-4f43-85ea-b728a3fe755b,NA,,[]
7fa10f69,jf04wvaw5022,Test,,,7fa10f69-da93-44e3-be57-23a73f82ad62,NA,,[]
6d7104c6,ba05wvaw0148,Cleanup,,Virtualization,6d7104c6-1ec2-45bc-bc65-143e1c68e9f5,NA,,[]
3b4a50fd,ba05wvaw0148,Test,,Virtualization,3b4a50fd-b26a-4c60-aa84-f1ebc5e9bba8,NA,,[]
d189fd0b,jf04wvaw5307,Test,,Virtualization,d189fd0b-b23e-4655-aaa5-7e07919418f0,NA,,[]
e12689e9,ba05wvaw0148,Test,,Virtualization,e12689e9-d297-4104-9901-2ab175aaf45b,NA,,[]
dfaee6d9,jf04wvaw5139,PreBoot,,,dfaee6d9-0512-4a6c-ba14-4b81a272526a,NA,,[]
b3400d69,jf04wvaw5179,PreBoot,,Concurrency,b3400d69-277e-48db-a8b2-943e5cc5b4b6,NA,,[]
630c4855,ba05wvaw0148,Cleanup,,Virtualization,630c4855-62d5-4cac-9fc0-5c356e4a6b9a,NA,,[]
43c0f8b9,ba05wvaw0004,PreBoot,,Concurrency,43c0f8b9-dc16-4b5f-8025-892aba8ef8c4,NA,,[]
cc846332,ba05wvaw0148,Cleanup,,Virtualization,cc846332-f635-4422-8aa0-55ffdf99b362,NA,,[]
0881611a,ba05wvaw0004,PreBoot,,Concurrency,0881611a-4c95-4223-80ae-50520408d36c,NA,,[]
dcfb907a,jf04wvaw5179,Test,,Concurrency,dcfb907a-1280-4819-b160-9bff3ae9aaa4,NA,,[]
42d268bd,ba05wvaw0148,Cleanup,,UPI,42d268bd-42fd-4285-bddd-feac0f083c7f,NA,,[]
ee695912,jf04wvaw5119,Test,,Concurrency,ee695912-351c-4806-b71d-9706361c0abc,NA,,[]
cfa615d3,ba05wvaw0148,Test,,Virtualization,cfa615d3-a703-4c69-8cba-0722314c550c,NA,,[]
05442134,ba05wvaw0004,PreTest,,Concurrency,05442134-3779-4721-8cbb-e3d29647a053,NA,,[]
0fabaefe,jf04wvaw5179,Test,,Concurrency,0fabaefe-93e5-409d-878b-08e368e10205,16027192204,,[]
4e0a04e2,jf04wvaw5179,PreBoot,,Concurrency,4e0a04e2-17aa-473e-bce6-afb38b95372a,NA,,[]
a38831f8,ba05wvaw0148,Cleanup,,Concurrency,a38831f8-d802-4c74-a2cf-7f6c90be605c,NA,,[]
f72a897a,ba05wvaw0148,Test,,Reset,f72a897a-6202-4826-a0e4-2e740c7f6d60,NA,,[]
dc26f73d,jf04wvaw5119,PreBoot,,Concurrency,dc26f73d-8532-49eb-aa95-41f732d7f938,NA,,[]
79840aa6,ba05wvaw0148,Cleanup,,UPI,79840aa6-09bb-467c-8675-37b587ab5f9e,NA,,[]
56c690f8,ba05wvaw0148,Cleanup,,RDT_Mesh,56c690f8-4eb3-49bc-b8d8-75b0701f987c,NA,,[]
614e138d,ba05wvaw0148,PreBoot,,PM,614e138d-a442-46a6-8b0c-d7f5f2a7e99d,NA,,[]
04cf8f0e,ba05wvaw0004,Test,,CXL,04cf8f0e-0dcc-401d-ab2b-6d95c55e6b06,NA,,[]
b1755921,jf04wvaw5312,PreTest,,MMX,b1755921-3024-40fc-8b43-9a3d346292e3,NA,,[]
7120d54c,ba05wvaw0111,PreBoot,,CI_GNR_AP_DF,7120d54c-a385-4937-a814-3c4e04499efa,NA,,[]
017aa426,ba05wvaw0054,PreBoot,,Reset,017aa426-2d27-417d-8227-1f814abfc5e8,NA,,[]
3a6fda8e,ba05wvaw0053,PreBoot,,Reset,3a6fda8e-262f-424f-ab03-36eafe11ab4e,NA,,[]
4385574e,ba05wvaw0111,PreBoot,,CI_GNR_AP_DF,4385574e-fe09-4085-a7e2-935a9387caf4,NA,,[]
4d890ef7,ba05wvaw0004,PreBoot,,CI_GNR_AP_DF,4d890ef7-6952-41ae-a20c-25a4a386dbf1,NA,,[]
fab3a820,ba05wvaw0111,PreBoot,,CI_GNR_AP_DF,fab3a820-1c85-4e38-9c62-c986df7963b3,NA,,[]
fe89a8b8,ba05wvaw0054,PreBoot,,Reset,fe89a8b8-12cc-431f-a38b-b9f1576632ef,NA,,[]
e8783824,ba05wvaw0053,PreBoot,,Reset,e8783824-8924-49c1-bc16-0953f2bfa364,NA,,[]
cd62d3c8,ba05wvaw0054,PreBoot,,Reset,cd62d3c8-f099-4946-9007-514abd9769b6,NA,,[]
4304bd77,ba05wvaw0004,PreBoot,,CI_GNR_AP_DF,4304bd77-567b-4afe-bb5c-ac0a29a89f71,NA,,[]
1c468f0e,ba05wvaw0053,PreBoot,,Reset,1c468f0e-40b8-4ce8-b365-3ebe67870b7e,NA,,[]
7591bc28,ba05wvaw0004,PreBoot,,CI_GNR_AP_DF,7591bc28-20c6-4cb7-9adf-2cb750573dc5,NA,,[]
447de8fb,jf04wvaw5119,PostTest,,Concurrency,447de8fb-0eda-4cb3-9a78-819690e547ff,NA,,[]
67ee531a,ba05wvaw0054,PreBoot,,Reset,67ee531a-5929-4267-8d2d-7eb8c31baf52,NA,,[]
acf63098,ba05wvaw0004,PreBoot,,CI_GNR_AP_DF,acf63098-b75e-4fd0-a8c6-226906abedf2,NA,,[]
6bd10f8d,ba05wvaw0053,PreBoot,,Reset,6bd10f8d-8afd-4f0e-a6d4-56c7c416e215,NA,,[]
f7e3b1d5,ba05wvaw0004,PreBoot,,CI_GNR_AP_DF,f7e3b1d5-eef3-44f6-b64b-1592c6c5592d,NA,,[]
cbabd058,ba05wvaw0111,PreBoot,,CI_GNR_AP_DF,cbabd058-6601-4438-b9a5-c03646b4bfb8,NA,,[]
9314cea7,ba05wvaw0053,PreBoot,,Reset,9314cea7-8d87-45d8-b4c3-08f8b88bf995,NA,,[]
1ca84846,ba05wvaw0004,PostTest,,CI_GNR_AP_DF,1ca84846-5692-448e-b996-88a276c3476c,NA,,[]
dc085327,ba05wvaw0004,Test,,CI_GNR_AP_DF,dc085327-3e99-4966-9c4c-b4657971ed7d,NA,,[]
7db7280f,ba05wvaw0054,PreBoot,,Reset,7db7280f-1cc5-4abf-b7fb-acbc4d950746,NA,,[]
12baf873,ba05wvaw0111,PreBoot,,CI_GNR_AP_DF,12baf873-69fb-4784-8b5e-37ee623389c1,NA,,[]
3ca98bd5,ba05wvaw0004,PreBoot,,Reset,3ca98bd5-3c26-45e2-9026-a7d69ca3e498,NA,,[]
6ffe3fe9,ba05wvaw0054,PreBoot,,Reset,6ffe3fe9-907c-45d7-b369-4aab6b769282,NA,,[]
297f19a2,ba05wvaw0054,PreBoot,,Reset,297f19a2-ebd1-46ee-912e-e8c39eac2049,NA,,[]
456d58a0,ba05wvaw0148,PreBoot,2c1a5eb5-ce14-4810-36f3-43e82ff4e460,Reset,456d58a0-e8e2-4f39-9b2c-acdcf3906da6,NA,https://axonsv.app.intel.com/apps/record-viewer/2c1a5eb5-ce14-4810-36f3-43e82ff4e460,"['HW.CORR', 'HW.ERR', 'HW']"
17035d21,jf04wvaw5468,PreBoot,,PM,17035d21-0069-4abc-b395-15eb3469f806,NA,,[]
43df687f,jf04wvaw5198,PreBoot,,PM,43df687f-d63a-4345-a1e5-9e7a180174a7,NA,,[]
70706ec5,ba05wvaw0004,PreBoot,,Reset,70706ec5-6e9b-4d90-ab98-7f3597e91cb9,NA,,[]
