Failure Name,NGA_Link,Station Name,Stage,Debug Snapshot,Group Name,Failure_Id,SightingId,AxonSV Record Viewer,Signatures
c114bd05,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/c114bd05-d3e2-4415-bae7-7e47fce21e0a,ba05wvaw0250,PreBoot,,DefaultFlowBasicTest,c114bd05-d3e2-4415-bae7-7e47fce21e0a,NA,,[]
8e17859e,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/8e17859e-fe3b-4fa4-a7e2-605f5534ee4c,ba05wvaw0235,PreBoot,,DefaultFlowBasicTest,8e17859e-fe3b-4fa4-a7e2-605f5534ee4c,NA,,[]
c24b9eb0,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/c24b9eb0-5c7b-44b9-8118-3e1d6483a470,ba05wvaw0290,PreBoot,,DefaultFlowBasicTest,c24b9eb0-5c7b-44b9-8118-3e1d6483a470,NA,,[]
88cf7c1d,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/88cf7c1d-b2db-4949-bc3b-36329aa1579d,ba05wvaw0289,PreBoot,,DefaultFlowBasicTest,88cf7c1d-b2db-4949-bc3b-36329aa1579d,NA,,[]
a3a95ffc,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/a3a95ffc-51d1-4fcf-a7ef-8edf36dc4a9b,ba05wvaw0288,PreBoot,,DefaultFlowBasicTest,a3a95ffc-51d1-4fcf-a7ef-8edf36dc4a9b,NA,,[]
b9204ede,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/b9204ede-a3bf-4056-bbdb-ad11161c4551,ba05wvaw0298,PreBoot,,DefaultFlowBasicTest,b9204ede-a3bf-4056-bbdb-ad11161c4551,NA,,[]
de119f48,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/de119f48-aa5a-4ce9-a71c-d260607b9d3c,ba05wvaw0236,Test,f0a6dd27-683d-4386-83eb-84e41afbe598,CI_GNR_D_DF,de119f48-aa5a-4ce9-a71c-d260607b9d3c,NA,https://axonsv.app.intel.com/apps/record-viewer/f0a6dd27-683d-4386-83eb-84e41afbe598,"['HW.CORR', 'HW.ERR', 'HW.CFG.ERR', 'HW']"
b126ad39,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/b126ad39-94c6-406e-8db2-df7586cd4363,ba05wvaw0286,PreBoot,,CI_GNR_D_DF,b126ad39-94c6-406e-8db2-df7586cd4363,NA,,[]
1f2a1194,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/1f2a1194-5400-40fe-9528-c5528500b039,ba05wvaw0283,PreBoot,,DefaultFlowBasicTest,1f2a1194-5400-40fe-9528-c5528500b039,NA,,[]
0b03ee3b,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/0b03ee3b-4c5b-41b9-9030-2d7ba4fb2393,ba05wvaw0250,PreBoot,,DefaultFlowBasicTest,0b03ee3b-4c5b-41b9-9030-2d7ba4fb2393,NA,,[]
