Failure Name,Station Name,Stage,Debug Snapshot,Group Name,Failure_Id,SightingId,AxonSV Record Viewer,Signatures,hsdes_link,axon_link,Errors
e2ee17f6,ba05wvaw0278,Test,bedc8952-1e09-4002-81d4-72eca665e1a9,Vtd,e2ee17f6-4f82-4fd3-904a-147f5726e611,,https://axonsv.app.intel.com/apps/record-viewer/bedc8952-1e09-4002-81d4-72eca665e1a9,"['HW', 'HW.CORR', 'HW.ERR']",,,"['Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1', 'Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1']"
41750ccb,ba05wvaw0240,RebootStation,9d17a132-e495-4b63-a45b-52a237bd865c,MMX,41750ccb-4a9b-44ff-b1ab-4a20af9bfeca,,https://axonsv.app.intel.com/apps/record-viewer/9d17a132-e495-4b63-a45b-52a237bd865c,"['HW', 'HW.CORR', 'HW.ERR']",,,"['Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1', 'Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1']"
0f5ebdf9,ba05wvaw0278,Test,36365143-2cde-4924-baab-2fbcbd7ff617,Vtd,0f5ebdf9-cfd7-4bae-9ddf-d3a56f4de9a2,,https://axonsv.app.intel.com/apps/record-viewer/36365143-2cde-4924-baab-2fbcbd7ff617,"['HW', 'HW.CORR', 'HW.ERR']",,,"['Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1', 'Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1']"
274b976d,ba05wvaw0293,Test,66cd51e6-059d-49f4-afce-1e6c2a11bd8d,MMX,274b976d-3c5f-4883-9ee8-67e5c3748f5b,,https://axonsv.app.intel.com/apps/record-viewer/66cd51e6-059d-49f4-afce-1e6c2a11bd8d,"['HW', 'HW.CORR', 'HW.ERR']",,,"['corerrsts_oob.advisory_non_fatal_error_status', 'corerrsts_msm.advisory_non_fatal_error_status', 'corerrsts_oob.advisory_non_fatal_error_status', 'msm_global_status_ctrl_reg.pcode_err: PCI_ERR logged and occurred going to PUNIT', 'msm_global_status_ctrl_reg.peci_err: PCI_ERR logged and sent (maybe) for PECI', 'msm_global_status_ctrl_reg.msm_pmsb_err: Error on PMSB (PCI_ERR logged for PMSB)']"
